section,rowNumber,recommendation,corroboration,mastersheetSourceName,mastersheetStock,inlineNote,proposedSkuName,proposedInvId,proposedCategory,proposedCretileGrade,proposedStock,proposedNotes,reasoning
TinkRworks,4,SKIP-HEADER,,TinkRworks - Resuable Kits,1330,,,,,,,,Section header row; not a SKU. The 1330 figure does not reconcile with the column sum (~7243); flagged as D-033 for Misba/Pradeep round-2 clarification.
Cretile,5,AUTO-IMPORT,,Grade 3  Kit,12,,Cretile Grade-band kit,INV-CRETILE-G3,Cretile,3,12,,Cretile per-grade row: Grade 3 maps to INV-CRETILE-G3 cleanly. Stock 12 units. No Req note.
TinkRworks,5,AUTO-IMPORT,9,STEAM:-  Launch Pad Kit (Reusable),136,12,Launchpad,INV-LAUNCHPAD,TinkRworks,,136,,"Dispatch corroboration: 9 existing Dispatch records use skuName ""Launchpad"". Mastersheet stock 136 units imports cleanly."
Cretile,6,AUTO-IMPORT,,Grade 4  Kit,14,,Cretile Grade-band kit,INV-CRETILE-G4,Cretile,4,14,,Cretile per-grade row: Grade 4 maps to INV-CRETILE-G4 cleanly. Stock 14 units. No Req note.
TinkRworks,6,MANUAL-REVIEW,0,STEAM:- P3 Project Kit K-8 ( Reusable),256,,P3 Project Kit,INV-P3-PROJECT-KIT,TinkRworks,,256,,No Dispatch corroboration: P3 Project Kit does not appear in any of the 27 existing Dispatch records. Anish picks: AUTO-IMPORT (treat as real SKU; will be used by future dispatches) OR active=false (sunset) OR QUARANTINE.
Cretile,7,AUTO-IMPORT,,Grade 5  Kit,14,Grade 5-17,Cretile Grade-band kit,INV-CRETILE-G5,Cretile,5,14,Mastersheet Req note: Grade 5-17,"Cretile per-grade row: Grade 5 maps to INV-CRETILE-G5 cleanly. Stock 14 units. Mastersheet ""Req"" note ""Grade 5-17"" preserved verbatim in notes field; D-035 captures the question of whether the system should track per-grade demand explicitly."
TinkRworks,7,AUTO-IMPORT,5,STEAM :- Pampered Plant Project Kit (Reusable),122,,Pampered Plant,INV-PAMPERED-PLANT,TinkRworks,,122,,"Dispatch corroboration: 5 existing Dispatch records use skuName ""Pampered Plant"". Mastersheet stock 122 units imports cleanly."
Cretile,8,AUTO-IMPORT,,Grade 6  Kit,26,Grade 6-11,Cretile Grade-band kit,INV-CRETILE-G6,Cretile,6,26,Mastersheet Req note: Grade 6-11,"Cretile per-grade row: Grade 6 maps to INV-CRETILE-G6 cleanly. Stock 26 units. Mastersheet ""Req"" note ""Grade 6-11"" preserved verbatim in notes field; D-035 captures the question of whether the system should track per-grade demand explicitly."
TinkRworks,8,AUTO-IMPORT,3,STEAM :- Smart Lamp Project Kit (Reusable),344,,Smart Lamp,INV-SMART-LAMP,TinkRworks,,344,,"Dispatch corroboration: 3 existing Dispatch records use skuName ""Smart Lamp"". Mastersheet stock 344 units imports cleanly."
Cretile,9,AUTO-IMPORT,,Grade 7  Kit,53,Grade 7-9,Cretile Grade-band kit,INV-CRETILE-G7,Cretile,7,53,Mastersheet Req note: Grade 7-9,"Cretile per-grade row: Grade 7 maps to INV-CRETILE-G7 cleanly. Stock 53 units. Mastersheet ""Req"" note ""Grade 7-9"" preserved verbatim in notes field; D-035 captures the question of whether the system should track per-grade demand explicitly."
TinkRworks,9,AUTO-IMPORT,2,STEAM :- Tech-A-Sketch Project Kit (Reusable),576,,Tech A Sketch,INV-TECH-A-SKETCH,TinkRworks,,576,,"Dispatch corroboration: 2 existing Dispatch records use skuName ""Tech A Sketch"". Mastersheet stock 576 units imports cleanly."
Cretile,10,AUTO-IMPORT,,Grade 8  Kit,24,Grade 8-14,Cretile Grade-band kit,INV-CRETILE-G8,Cretile,8,24,Mastersheet Req note: Grade 8-14,"Cretile per-grade row: Grade 8 maps to INV-CRETILE-G8 cleanly. Stock 24 units. Mastersheet ""Req"" note ""Grade 8-14"" preserved verbatim in notes field; D-035 captures the question of whether the system should track per-grade demand explicitly."
TinkRworks,10,AUTO-IMPORT,11,STEAM :- TinkRbot Explorer Project Kit (Reusable),598,40,Tinkrexplorer,INV-TINKREXPLORER,TinkRworks,,598,,"Dispatch corroboration: 11 existing Dispatch records use skuName ""Tinkrexplorer"". Mastersheet stock 598 units imports cleanly."
Cretile,11,AUTO-IMPORT,,Grade 9  Kit,12,Grade 9-12,Cretile Grade-band kit,INV-CRETILE-G9,Cretile,9,12,Mastersheet Req note: Grade 9-12,"Cretile per-grade row: Grade 9 maps to INV-CRETILE-G9 cleanly. Stock 12 units. Mastersheet ""Req"" note ""Grade 9-12"" preserved verbatim in notes field; D-035 captures the question of whether the system should track per-grade demand explicitly."
TinkRworks,11,AUTO-IMPORT,9,STEAM:- TinkRpy Project Kit (Reusable),923,29,Tinkrpython,INV-TINKRPYTHON,TinkRworks,,923,,"Dispatch corroboration: 9 existing Dispatch records use skuName ""Tinkrpython"". Mastersheet stock 923 units imports cleanly."
TinkRworks,12,MANUAL-REVIEW,0,STEAM:- TinkRsynth Project Kit (Reusable),3,,Tinkrsynth,INV-TINKRSYNTH,TinkRworks,,3,,No Dispatch corroboration: Tinkrsynth does not appear in any of the 27 existing Dispatch records. Anish picks: AUTO-IMPORT (treat as real SKU; will be used by future dispatches) OR active=false (sunset) OR QUARANTINE.
Cretile,13,AUTO-IMPORT,,Grade 10 Kit,13,,Cretile Grade-band kit,INV-CRETILE-G10,Cretile,10,13,,Cretile per-grade row: Grade 10 maps to INV-CRETILE-G10 cleanly. Stock 13 units. No Req note.
TinkRworks,13,MANUAL-REVIEW,0,STEAM:- TinkRsynth Mixer PCB ,0,we don�t have this in our inventory,Tinkrsynth Mixer PCB,INV-TINKRSYNTH-MIXER-PCB,TinkRworks,,0,,"Mastersheet inline note: ""we don't have this in our inventory"". Anish picks: AUTO-IMPORT with active=false (sunset SKU; preserves audit trail) OR QUARANTINE (drop entirely)."
TinkRworks,14,AUTO-IMPORT,10,STEAM :- TinkRbot Scout Project Sample,4285,,TinkrBotScout,INV-TINKRBOTSCOUT,TinkRworks,,4285,,"Dispatch corroboration: 10 existing Dispatch records use skuName ""TinkrBotScout"". Mastersheet stock 4285 units imports cleanly."
Placeholder,,AUTO-IMPORT,6,,0,,Push Pull Pin,INV-PUSH-PULL-PIN,Other,,0,not in Mastersheet Current Inventory; verified absent at W4-G backfill; stock to be set by Misba/Pradeep at next inventory edit (D-034),Placeholder added per W4-G recon Q2: Push Pull Pin appears in Dispatch lineItems but is absent from Mastersheet Current Inventory. Stock 0 placeholder; round 2 (D-034) sets actual count.
Placeholder,,AUTO-IMPORT,1,,0,,Steam Academy,INV-STEAM-ACADEMY,Other,,0,not in Mastersheet Current Inventory; verified absent at W4-G backfill; stock to be set by Misba/Pradeep at next inventory edit (D-034),Placeholder added per W4-G recon Q2: Steam Academy appears in Dispatch lineItems but is absent from Mastersheet Current Inventory. Stock 0 placeholder; round 2 (D-034) sets actual count.
